TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,40.761255,-73.974483
House for sale,260000,4,2,2015,40.541805,-74.196109
House for sale,690000,5,2,4004,40.674363,-73.958725
Co-op for sale,265000,1,1,750,40.821586,-73.874089
Co-op for sale,440000,2,1,978,40.615738,-73.969694
Co-op for sale,375000,2,1,850,40.82487,-73.922983
Townhouse for sale,689000,3,2,1162,40.624996,-74.155306
Condo for sale,549000,2,2,1000,40.540621,-74.167163
Townhouse for sale,975000,3,2,1734,40.760768,-73.905667
Co-op for sale,199000,3,1,325,40.618103,-74.036905
Co-op for sale,350000,1,1,700,40.90737,-73.906558
Condo for sale,599000,2,2,974,40.732471,-73.86708
House for sale,639999,3,2,1260,40.62074,-74.111436
Condo for sale,349900,1,1,651,40.590206,-74.095803
House for sale,750000,2,2,1330,40.503979,-74.239656
Multi-family home for sale,925000,5,2,2750,40.824239,-73.817381
Condo for sale,329000,1,2,794,40.62104,-74.150431
Multi-family home for sale,848000,5,4,2080,40.661548,-73.898309
Co-op for sale,279000,1,1,750,40.617917,-73.954631
Condo for sale,528000,1,1,602,40.62759,-74.00162
Multi-family home for sale,700000,6,2,3053,40.852813,-73.917687
Multi-family home for sale,699000,4,3,1591,40.68475,-73.802733
Condo for sale,329000,2,1,837,40.631535,-74.085634
Multi-family home for sale,889000,2,2,1520,40.623319,-74.125992
Co-op for sale,220500,2,1,900,40.648149,-74.084798
House for sale,998800,3,4,2400,40.6175,-74.103996
House for sale,998800,3,4,2400,40.618648,-74.101909
Co-op for sale,559500,1,1,800,40.575194,-73.966998
Co-op for sale,750000,1,1,835,40.764371,-73.959358
Condo for sale,655000,3,2,803,40.696727,-73.907404
Multi-family home for sale,798000,3,4,2150,40.587484,-74.070106
House for sale,585000,3,2,1100,40.578426,-74.105437
House for sale,595000,3,1,1316,40.623915,-73.929123
Condo for sale,215000,1,1,625,40.726773,-74.002538
House for sale,314000,3,1,1572,40.636237,-73.939679
Condo for sale,395000,5,1,1000,40.77004,-73.963887
Multi-family home for sale,790000,6,3,2520,40.610586,-74.126818
Co-op for sale,539000,2,2,1100,40.617073,-74.038384
House for sale,400000,7,3,2385,40.896915,-73.865498
Co-op for sale,280000,1,1,1000,40.624177,-74.021684
House for sale,899000,3,2,1440,40.5159,-74.231483
Condo for sale,325000,2,1,979,40.789751,-73.948726
House for sale,694000,3,3,1360,40.542313,-74.155567
House for sale,688888,4,2,2846,40.872618,-73.865177
House for sale,400000,4,2,1980,40.665357,-73.877087
House for sale,400000,4,2,1980,40.665357,-73.877087
House for sale,319000,3,2,1224,40.56047,-74.101893
House for sale,650000,3,2,1522,40.723245,-73.729329
House for sale,799000,4,2,1975,40.538781,-74.193378
Co-op for sale,259000,3,2,1089,40.824637,-73.807206
Condo for sale,189000,2,2,966,40.61096,-74.060351
Condo for sale,759000,3,2,1200,40.788176,-73.787705
Condo for sale,499000,1,1,630,40.770232,-73.961016
Co-op for sale,69900,2,1,700,40.822499,-73.811157
Condo for sale,649000,3,2,1182,40.730294,-73.805925
House for sale,499000,5,2,1760,40.866386,-73.887895
Townhouse for sale,650000,3,2,1638,40.84545,-73.820977
Condo for sale,500000,4,3,1794,40.790571,-73.975339
House for sale,350000,2,1,490,40.573127,-74.089182
Co-op for sale,90000,1,1,450,40.842371,-73.923444
House for sale,650000,4,2,2244,40.696871,-73.73904
House for sale,729900,3,2,1150,40.530213,-74.198191
Co-op for sale,449000,2,2,1549,40.757799,-73.715956
House for sale,675000,3,2,2400,40.610206,-73.91065
House for sale,879000,4,2,1238,40.527325,-74.198328
House for sale,998000,4,4,2000,40.515251,-74.235145
House for sale,955000,4,4,2100,40.551184,-74.184065
House for sale,880000,3,2,1743,40.766831,-73.791118
Condo for sale,198000,1,1,750,40.71276,-73.83433
House for sale,549000,5,3,496,40.86797,-73.836565
House for sale,888000,4,2,2686,40.813078,-73.806336
House for sale,689000,3,2,1248,40.613776,-74.160031
House for sale,649999,3,2,1440,40.580333,-74.088517
House for sale,669000,3,2,864,40.599352,-74.095388
House for sale,800000,3,2,825,40.622273,-73.924094
House for sale,390000,2,1,586,40.574103,-74.093167
Condo for sale,725000,2,2,792,40.689816,-73.906247
Co-op for sale,459000,3,2,1250,40.586648,-73.984516
House for sale,689999,3,2,1008,40.621814,-74.140626
Co-op for sale,425000,3,2,1405,40.738185,-73.858125
Co-op for sale,425000,3,2,1405,40.738185,-73.858125
House for sale,519000,3,2,1480,40.593938,-74.184315
Co-op for sale,498000,2,1,975,40.635116,-74.031161
Co-op for sale,385000,1,2,900,40.78393,-73.77643
Multi-family home for sale,999000,6,2,3144,40.845107,-73.860158
House for sale,829888,4,2,1800,40.521278,-74.223035
Townhouse for sale,699998,3,2,1548,40.595314,-74.162829
House for sale,999000,6,2,1280,40.880817,-73.835083
Co-op for sale,265000,1,1,700,40.78245,-73.77651
Co-op for sale,288000,1,1,845,40.589483,-73.939537
Co-op for sale,999995,3,2,1750,40.76405,-73.964336
Co-op for sale,925000,1,1,1000,40.769943,-73.958356
Condo for sale,839000,3,2,1376,40.590545,-73.99104
Co-op for sale,329000,1,1,820,40.71574,-73.83672
Multi-family home for sale,899000,6,3,3683,40.879614,-73.856153
Condo for sale,800000,2,2,1257,40.791779,-73.94062
Condo for sale,430000,2,2,1248,40.612387,-74.151129
Co-op for sale,439500,3,2,1400,40.704788,-73.834455
Condo for sale,200000,1,1,613,40.840459,-73.854205
Co-op for sale,69000,1,1,850,40.836662,-73.923959
Co-op for sale,230000,1,1,620,40.802842,-73.967023
Co-op for sale,220000,1,1,590,40.713014,-73.823038
Co-op for sale,475000,1,1,615,40.777998,-73.944534
Condo for sale,320000,2,2,936,40.823686,-73.861131
Co-op for sale,295000,2,1,700,40.619639,-73.970731
Condo for sale,285000,2,1,1000,40.836227,-73.861235
Co-op for sale,328000,1,1,800,40.743059,-73.880983
Multi-family home for sale,650000,6,2,2310,40.824436,-73.863374
Co-op for sale,849000,2,1,800,40.66626,-73.987014
Co-op for sale,560000,3,1,550,40.777244,-73.986874
Co-op for sale,849000,2,1,800,40.66626,-73.987014
Co-op for sale,418888,2,1,900,40.633912,-74.005843
Multi-family home for sale,899000,8,2,2160,40.872808,-73.846949
Multi-family home for sale,979000,8,3,2860,40.659713,-73.919598
Condo for sale,875000,3,2,1437,40.853953,-73.934568
Multi-family home for sale,815156,4,4,2945,40.640266,-74.110402
Multi-family home for sale,669000,5,2,1893,40.596715,-73.769642
Multi-family home for sale,599000,4,3,1176,40.638069,-74.162775
House for sale,799000,5,3,1800,40.633613,-73.927604
Multi-family home for sale,860000,5,3,2324,40.576894,-74.004879
House for sale,765000,3,4,2205,40.611142,-74.090536
Co-op for sale,259000,1,1,750,40.64912,-73.944066
Condo for sale,850000,2,2,1005,40.856444,-73.937762
Co-op for sale,535000,1,1,750,40.645301,-73.972305
Multi-family home for sale,849998,4,2,2342,40.548777,-74.162925
Multi-family home for sale,998000,5,3,1574,40.719086,-73.906091
Multi-family home for sale,875000,6,3,2860,40.892096,-73.848736
Multi-family home for sale,850000,5,2,1908,40.897927,-73.846306
Co-op for sale,339000,3,1,250,40.748888,-73.972395
Multi-family home for sale,875000,7,5,2680,40.82701,-73.876629
Multi-family home for sale,799000,7,2,2296,40.833393,-73.872791
Multi-family home for sale,799000,7,2,2296,40.833393,-73.872791
House for sale,285000,2,1,1380,40.712833,-73.743578
Townhouse for sale,795000,4,2,1440,40.876739,-73.911189
House for sale,250000,3,2,1224,40.650553,-73.831674
House for sale,699900,3,2,1470,40.615395,-74.161086
Co-op for sale,459000,2,1,950,40.760794,-73.825877
Condo for sale,559000,1,1,679,40.794574,-73.943421
House for sale,749000,4,1,1040,40.616535,-74.150719
Co-op for sale,400000,2,2,1150,40.813143,-73.808397
Condo for sale,289000,1,1,666,40.654162,-73.884678
Condo for sale,699000,1,1,616,40.682648,-73.943492
Co-op for sale,105000,3,1,656,40.85607,-73.868875
House for sale,300000,3,1,952,40.616292,-73.929914
Multi-family home for sale,799000,5,3,2400,40.818184,-73.812739
Co-op for sale,202000,2,1,1453,40.780281,-73.781891
Co-op for sale,599000,3,1,1200,40.627935,-74.026015
Condo for sale,235000,2,1,860,40.619277,-74.09515
Co-op for sale,319000,3,1,960,40.759859,-73.729009
House for sale,774888,3,2,960,40.552558,-74.170901
Co-op for sale,105509,1,1,650,40.879078,-73.91752
House for sale,769000,4,2,1728,40.815203,-73.815497
Co-op for sale,395995,2,1,1100,40.904882,-73.905111
House for sale,499999,2,1,1744,40.854943,-73.79083
Co-op for sale,149000,3,1,400,40.72762,-73.984891
House for sale,675000,3,1,1404,40.633351,-74.102133
Townhouse for sale,559900,3,2,980,40.513234,-74.195975
Co-op for sale,235000,3,2,1400,40.71423,-73.8152
House for sale,215000,4,2,2000,40.669498,-73.889753
Co-op for sale,215000,2,2,747,40.823327,-73.811012
House for sale,275000,2,1,1104,40.840982,-73.829294
Multi-family home for sale,898000,6,3,2100,40.558697,-74.1351
Co-op for sale,275000,2,1,900,40.855476,-73.828719
House for sale,599000,4,2,1682,40.674734,-73.823975
Condo for sale,189000,1,1,730,40.61096,-74.060351
Multi-family home for sale,678990,3,3,1575,40.601232,-74.130018
House for sale,800000,3,2,1824,40.608799,-73.912817
Condo for sale,549000,3,2,1092,40.622111,-74.149998
House for sale,849000,3,2,2000,40.552849,-74.169938
House for sale,130000,3,2,664,40.633067,-74.165948
Multi-family home for sale,799900,5,2,1750,40.595626,-73.933927
Co-op for sale,159000,2,1,1010,40.876205,-73.860362
House for sale,999500,3,2,1144,40.784332,-73.804571
Condo for sale,329000,2,1,850,40.631614,-74.085895
House for sale,799000,3,2,1881,40.640289,-73.946349
House for sale,729000,3,2,1400,40.846624,-73.852091
House for sale,599000,4,2,1500,40.897247,-73.868898
Condo for sale,965000,3,1,540,40.690385,-73.982534
Co-op for sale,49500,3,2,800,40.843284,-73.784603
House for sale,460000,3,3,2256,40.641648,-73.906457
House for sale,799999,3,2,1344,40.609915,-73.928714
Condo for sale,749000,2,2,1300,40.787492,-73.785809
House for sale,265000,2,1,660,40.584922,-74.096878
House for sale,575000,2,1,900,40.580913,-73.830201
Multi-family home for sale,849000,4,2,2180,40.852813,-73.831224
House for sale,875000,2,2,1214,40.756547,-73.733972
House for sale,599999,3,2,1360,40.613911,-74.133028
House for sale,250000,3,1,1376,40.621217,-73.932434
House for sale,950000,3,2,1748,40.718899,-73.858799
Condo for sale,399000,3,1,500,40.837491,-73.945604
Co-op for sale,209000,1,1,1078,40.891596,-73.898983
Co-op for sale,280000,3,2,1100,40.840974,-73.845625
Multi-family home for sale,924800,4,3,2049,40.507545,-74.246109
Multi-family home for sale,995000,5,2,2288,40.55014,-74.181038
Townhouse for sale,695000,3,2,1793,40.576391,-74.163138
Townhouse for sale,695000,3,2,1793,40.576391,-74.163138
Multi-family home for sale,998000,5,3,1738,40.689803,-73.836542
Multi-family home for sale,899000,7,3,1980,40.627518,-74.123377
House for sale,520000,4,2,1701,40.678142,-73.925058
Co-op for sale,215000,3,1,1100,40.622324,-73.969507
Co-op for sale,270000,2,2,900,40.756279,-73.875805
Co-op for sale,375000,2,2,1200,40.887653,-73.909649
House for sale,699000,3,2,2350,40.609586,-73.925316
House for sale,739000,3,1,1148,40.738682,-73.720272
Multi-family home for sale,425000,3,2,1700,40.881794,-73.861777
Co-op for sale,300000,2,1,900,40.647939,-74.08527
House for sale,569000,3,3,1780,40.814782,-73.826525
House for sale,789000,5,3,1273,40.70845,-73.731627
Co-op for sale,350000,2,1,825,40.711175,-73.957086
House for sale,924900,3,2,1404,40.609435,-73.977734
Multi-family home for sale,925000,4,2,2160,40.86166,-73.842102
Condo for sale,699000,2,2,833,40.787339,-73.779469
House for sale,900000,4,4,2700,40.61103,-73.819506
Co-op for sale,369000,1,1,1470,40.575636,-73.84232
House for sale,609000,3,2,1620,40.816584,-73.8007
Condo for sale,758000,3,2,1278,40.792882,-73.844921
Condo for sale,728000,3,2,1890,40.55065,-74.193355
House for sale,314900,3,3,1200,40.674494,-73.888376
Condo for sale,434900,3,2,1286,40.608576,-74.161039
Co-op for sale,375000,2,2,1350,40.893847,-73.909137
Co-op for sale,549000,2,2,1200,40.724514,-73.845844
House for sale,549000,3,1,1400,40.636854,-74.112457
House for sale,950000,3,2,1520,40.715727,-73.856345
House for sale,399000,3,2,1350,40.679832,-73.82277
Multi-family home for sale,898888,5,2,1550,40.728238,-73.715812
Multi-family home for sale,869999,5,3,2080,40.600553,-74.131451
Co-op for sale,219000,3,1,1050,40.598891,-73.933468
House for sale,210000,3,2,1840,40.664748,-73.884184
Co-op for sale,298000,3,2,1100,40.836324,-73.865476
House for sale,650000,4,1,1152,40.566306,-74.152955
House for sale,700000,3,2,1620,40.884402,-73.902834
Condo for sale,379000,1,2,704,40.845063,-73.783581
Co-op for sale,568888,3,2,1100,40.732222,-73.858885
Condo for sale,799999,3,2,1200,40.785914,-73.786878
House for sale,669999,4,2,1196,40.559812,-74.158517
House for sale,548800,3,4,1440,40.640946,-74.085993
House for sale,950000,4,2,2200,40.679541,-73.890443
Co-op for sale,185000,2,1,600,40.833945,-73.943236
House for sale,950000,4,2,2200,40.679541,-73.890443
House for sale,899000,3,4,2208,40.595555,-74.167794
House for sale,899000,2,1,1130,40.760419,-73.996809
Co-op for sale,120000,2,1,600,40.868366,-73.883209
Co-op for sale,229000,2,1,950,40.899519,-73.862368
Multi-family home for sale,800000,6,3,2202,40.890981,-73.852818
Co-op for sale,239000,2,1,798,40.665,-73.84857
House for sale,674999,3,2,1440,40.539413,-74.222839
Condo for sale,880000,4,4,2400,40.793455,-73.847162
Co-op for sale,175849,2,1,850,40.879078,-73.91752
Multi-family home for sale,499000,3,2,1445,40.636532,-74.121862
Multi-family home for sale,899975,6,3,1952,40.890635,-73.853094
House for sale,989000,4,4,2400,40.565755,-74.105116
Co-op for sale,750000,3,2,1750,40.836896,-73.946503
Multi-family home for sale,865000,6,3,2464,40.829724,-73.826341
Co-op for sale,220000,2,1,850,40.904935,-73.90609
House for sale,499000,2,2,1350,40.897843,-73.863361
Multi-family home for sale,999999,4,3,1980,40.620076,-74.030611
Co-op for sale,250000,2,1,950,40.587572,-73.971282
Condo for sale,109500,3,1,550,40.620265,-74.109911
Co-op for sale,299000,3,1,640,40.757832,-73.962456
House for sale,995000,3,2,1987,40.629368,-74.087037
Co-op for sale,279000,3,1,550,40.87127,-73.917853
Townhouse for sale,950000,5,3,2288,40.662625,-73.868021
House for sale,859000,2,2,950,40.774652,-73.81583
Condo for sale,478900,1,1,554,40.725976,-73.85998
Multi-family home for sale,560000,5,2,2624,40.63661,-74.077825
Multi-family home for sale,868000,3,4,2024,40.596366,-74.099747
Co-op for sale,149000,1,1,375,40.821309,-73.939998
House for sale,594900,4,2,1355,40.682481,-73.727949
House for sale,685000,4,2,2625,40.694631,-73.754049
Condo for sale,355000,1,1,514,40.666035,-73.961242
Co-op for sale,489000,2,2,1549,40.757799,-73.715956
Condo for sale,200000,2,3,1260,40.761398,-73.974613
Townhouse for sale,575000,4,2,1330,40.668351,-73.875732
House for sale,588888,4,2,1640,40.598626,-74.181772
Co-op for sale,315000,1,1,850,40.75208,-73.88188
House for sale,825000,4,2,2230,40.553279,-74.164984
House for sale,690000,3,2,1325,40.617348,-73.913145
Condo for sale,699000,2,2,1766,40.577131,-73.844316
Co-op for sale,119000,1,1,650,40.852238,-73.865579
Co-op for sale,309900,2,1,900,40.890176,-73.914626
Condo for sale,435000,3,2,1034,40.869061,-73.835715
Co-op for sale,325000,3,1,622,40.819215,-73.954466
Multi-family home for sale,899000,5,3,1480,40.725327,-73.89009
House for sale,850000,6,3,2280,40.668132,-73.994847
House for sale,495000,2,2,953,40.623374,-74.15995
Co-op for sale,825000,2,1,800,40.660279,-73.978949
Condo for sale,578000,2,2,900,40.726529,-73.893304
Condo for sale,629000,3,2,1360,40.606302,-74.015759
Condo for sale,329900,2,2,993,40.668979,-73.847655
House for sale,899000,5,2,2184,40.565557,-74.132919
House for sale,545000,6,3,1344,40.580425,-74.111046
Co-op for sale,307000,2,1,960,40.880256,-73.916834
Condo for sale,595000,1,1,750,40.726984,-73.976937
Townhouse for sale,650000,3,2,1912,40.869713,-73.856514
Multi-family home for sale,949999,5,3,1740,40.677823,-73.835028
Multi-family home for sale,879000,4,2,1998,40.852728,-73.833506
House for sale,850000,6,4,2886,40.608563,-73.768677
Co-op for sale,675000,2,2,1200,40.616867,-74.038093
House for sale,199000,2,1,900,40.628176,-74.179723
House for sale,395000,3,1,430,40.706832,-74.00838
Multi-family home for sale,999999,5,2,2754,40.550934,-74.174525
Condo for sale,374900,1,1,782,40.877877,-73.918877
Multi-family home for sale,999000,7,3,3036,40.821466,-73.913205
Co-op for sale,225000,2,1,789,40.618948,-74.107158
House for sale,799500,2,2,2250,40.501789,-74.239323
Co-op for sale,385000,2,1,800,40.786541,-73.801883
House for sale,699000,3,2,1500,40.678531,-73.813081
Condo for sale,649000,3,2,1400,40.589503,-73.957925
Townhouse for sale,529000,3,1,1618,40.578132,-74.160345
Co-op for sale,325000,2,1,750,40.78987,-73.948334
House for sale,999000,3,1,1392,40.612397,-73.942216
House for sale,160000,3,2,1064,40.684506,-73.79503
Condo for sale,615000,3,2,1165,40.575536,-73.973591
Co-op for sale,249000,2,1,800,40.822488,-73.81098
Multi-family home for sale,850000,4,2,2375,40.538217,-74.223518
House for sale,588000,3,2,1140,40.627807,-74.11527
Co-op for sale,249000,1,1,850,40.878977,-73.916004
Multi-family home for sale,999000,4,3,2270,40.861481,-73.851394
Co-op for sale,228500,1,1,750,40.71151,-73.82872
Multi-family home for sale,778000,4,3,2185,40.630844,-74.120406
House for sale,850000,3,2,1320,40.790705,-73.811097
House for sale,502900,4,2,1440,40.695866,-73.745005
Multi-family home for sale,749000,4,2,1420,40.854772,-73.858332
Multi-family home for sale,529000,5,2,2248,40.595204,-73.763437
Co-op for sale,335000,2,1,745,40.75179,-73.88467
Townhouse for sale,334999,1,2,1059,40.560143,-74.185436
Co-op for sale,335000,2,1,745,40.75179,-73.88467
Townhouse for sale,334999,1,2,1059,40.560143,-74.185436
House for sale,799000,3,2,2279,40.6132,-73.901971
Condo for sale,720000,3,2,1046,40.687375,-73.926406
House for sale,650000,2,2,896,40.745236,-73.720455
Condo for sale,499999,3,1,701,40.592532,-73.957405
House for sale,988000,4,2,2400,40.594519,-74.090478
House for sale,764600,4,2,1884,40.549616,-74.139108
House for sale,499900,3,2,1232,40.55274,-74.199555
House for sale,499900,3,2,1232,40.55274,-74.199555
Multi-family home for sale,989000,4,2,1827,40.592738,-73.953685
Multi-family home for sale,890000,5,2,2144,40.59602,-74.06735
Condo for sale,469888,2,2,1164,40.848071,-73.786181
Co-op for sale,659000,3,2,1300,40.822443,-73.810961
House for sale,725000,3,2,1476,40.558228,-74.117355
Co-op for sale,629000,2,2,1600,40.756476,-73.721201
House for sale,285000,3,1,1428,40.638474,-74.171463
Condo for sale,698000,2,2,824,40.761665,-73.826414
House for sale,465000,2,2,988,40.828518,-73.81552
Multi-family home for sale,699000,3,2,2034,40.866509,-73.857401
House for sale,799000,3,2,864,40.559309,-74.126496
House for sale,575000,5,3,2076,40.8965,-73.858541
Condo for sale,495000,2,1,766,40.852597,-73.935291
Co-op for sale,605000,3,2,1500,40.881882,-73.921791
House for sale,768000,3,2,1065,40.769338,-73.785432
Co-op for sale,575000,3,2,1480,40.588606,-73.939403
House for sale,639000,3,2,1224,40.832149,-73.826594
House for sale,850000,3,2,2160,40.593105,-74.066349
Multi-family home for sale,674999,5,2,2600,40.831556,-73.887227
Multi-family home for sale,788888,5,2,3443,40.625517,-73.920518
Co-op for sale,379000,2,2,1160,40.632062,-73.945259
Co-op for sale,250000,1,1,900,40.880985,-73.910233
Multi-family home for sale,799000,4,3,1344,40.639809,-73.910938
Multi-family home for sale,963000,4,4,2400,40.516861,-74.237535
Co-op for sale,950000,2,1,1000,40.775921,-73.986103
Co-op for sale,269000,1,1,900,40.71257,-73.79318
Co-op for sale,550000,2,1,1069,40.719237,-73.846265
House for sale,690000,3,2,1284,40.588482,-74.073534
Co-op for sale,619000,2,2,1200,40.576887,-73.954213
House for sale,899000,3,1,1050,40.614149,-74.164342
Co-op for sale,499000,2,1,686,40.761555,-73.992369
House for sale,799999,3,3,1444,40.711099,-73.741186
House for sale,529000,3,2,1650,40.80614,-73.857994
Co-op for sale,300000,3,1,1200,40.586269,-73.940712
House for sale,799000,5,4,1802,40.595749,-73.98622
Multi-family home for sale,869000,6,3,1526,40.850525,-73.856443
House for sale,749000,3,2,1480,40.853446,-73.848465
Co-op for sale,240900,2,1,875,40.879741,-73.920419
House for sale,549000,5,2,1716,40.572173,-74.097279
Co-op for sale,129000,1,1,750,40.899519,-73.862368
House for sale,475000,3,2,900,40.615882,-74.082219
Multi-family home for sale,980000,4,3,1408,40.611841,-73.92961
Co-op for sale,265000,2,1,1100,40.606809,-73.959033
House for sale,989000,6,4,2720,40.511945,-74.247072
Multi-family home for sale,899999,5,3,1800,40.901619,-73.89994
Co-op for sale,999000,2,1,1050,40.792112,-73.973177
Condo for sale,60000,3,1,445,40.761398,-73.974613
House for sale,499999,4,2,1248,40.628946,-74.138849
House for sale,599999,3,2,1272,40.611185,-74.075324
House for sale,725000,4,2,2000,40.619952,-74.12379
House for sale,998888,3,2,1780,40.611755,-74.032328
Multi-family home for sale,980000,3,4,2700,40.586018,-73.925213
House for sale,799000,3,2,1128,40.616921,-73.941527
House for sale,995000,3,2,3080,40.851385,-73.854324
Multi-family home for sale,749999,6,3,3150,40.845396,-73.868163
Condo for sale,479000,2,2,1008,40.578288,-74.158301
Co-op for sale,450000,3,2,1026,40.73235,-73.861165
Multi-family home for sale,639888,5,3,1376,40.556402,-74.197529
House for sale,569900,4,2,2180,40.639558,-74.080762
Multi-family home for sale,689888,3,2,1300,40.678081,-73.818897
House for sale,589000,4,3,1320,40.63567,-74.166895
House for sale,299000,1,1,608,40.563836,-74.098979
House for sale,879000,2,1,1000,40.761537,-73.957979
Co-op for sale,430000,2,2,1200,40.883066,-73.920643
House for sale,999000,3,2,1900,40.622804,-74.010968
Condo for sale,600000,3,1,441,40.769109,-73.98162
Co-op for sale,329000,1,1,750,40.61593,-74.033583
Condo for sale,275000,1,1,850,40.605627,-73.943238
Condo for sale,568000,2,1,550,40.614121,-73.996662
Condo for sale,568000,2,1,550,40.614121,-73.996662
House for sale,899000,4,2,1200,40.779161,-73.825756
House for sale,535000,3,3,1328,40.835507,-73.911997
